fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year,Month
Abdulhadi Habib,"Al-Manara News Agency,HQ media",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-16,https://cpj.org/data/people/abdulhadi-habib/,Journalist,Confirmed,,2023,October
Ahmed Abu Mhadi,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-25,https://cpj.org/data/people/ahmed-abu-mhadi/,Journalist,Confirmed,,2023,October
Ahmed Shehab,Sowt Al-Asra Radio (Radio Voice of the Prisoners),Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-12,https://cpj.org/data/people/ahmed-shehab/,Journalist,Confirmed,,2023,October
Duaa Sharaf,Radio Al-Aqsa,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-26,https://cpj.org/data/people/duaa-sharaf/,Journalist,Confirmed,,2023,October
Hisham Alnwajha,“Khabar” News Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-09,https://cpj.org/data/people/hisham-alnwajha/,Journalist,Confirmed,,2023,October
Husam Mubarak,Al-Aqsa Voice Radio,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-13,https://cpj.org/data/people/husam-mubarak/,Journalist,Confirmed,,2023,October
Ibrahim Mohammad Lafi,Ain Media,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-07,https://cpj.org/data/people/ibrahim-mohammad-lafi/,Journalist,Confirmed,,2023,October
Issam Bhar,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-17,https://cpj.org/data/people/issam-bhar/,Journalist,Confirmed,,2023,October
Jamal Al-Faqaawi,Mithaq Media Foundation,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-25,https://cpj.org/data/people/jamal-al-faqaawi/,Journalist,Confirmed,,2023,October
Khalil Abu Aathra,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-19,https://cpj.org/data/people/khalil-abu-aathra/,Journalist,Confirmed,,2023,October
Mohammad Balousha,Palestine Today,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-17,https://cpj.org/data/people/mohammad-balousha/,Journalist,Confirmed,,2023,October
Mohammad Jarghoun,Smart Media,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-07,https://cpj.org/data/people/mohammad-jarghoun/,Journalist,Confirmed,,2023,October
Mohammed Al-Salhi,Fourth Authority news agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-07,https://cpj.org/data/people/mohammed-al-salhi/,Journalist,Confirmed,,2023,October
Mohammed Ali,Al-Shabab Radio (Youth Radio),Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-20,https://cpj.org/data/people/mohammed-ali/,Journalist,Confirmed,,2023,October
Mohammed Imad Labad,Al Resalah,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-23,https://cpj.org/data/people/mohammed-imad-labad/,Journalist,Confirmed,,2023,October
Mohammed Sobh,“Khabar” News Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-09,https://cpj.org/data/people/mohammed-sobh/,Journalist,Confirmed,,2023,October
Roee Idan,Ynet,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-20,https://cpj.org/data/people/roee-idan/,Journalist,Confirmed,,2023,October
Roshdi Sarraj,Ain Media,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-22,https://cpj.org/data/people/roshdi-sarraj/,Journalist,Confirmed,,2023,October
Saed Al-Halabi,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-25,https://cpj.org/data/people/saed-al-halabi/,Journalist,Confirmed,,2023,October
Saeed al-Taweel,Al-Khamsa News,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-09,https://cpj.org/data/people/saeed-al-taweel/,Journalist,Confirmed,,2023,October
Salam Mema,Palestinian Media Assembly,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-13,https://cpj.org/data/people/salam-mema/,Journalist,Confirmed,,2023,October
Sameeh Al-Nady,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-18,https://cpj.org/data/people/sameeh-al-nady/,Journalist,Confirmed,,2023,October
Tasneem Bkheet,Al-Saada,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-24,https://cpj.org/data/people/tasneem-bkheet/,Journalist,Confirmed,,2023,October
Yaniv Zohar,Israel Hayom,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-07,https://cpj.org/data/people/yaniv-zohar/,Journalist,Confirmed,,2023,October
Yasser Abu Namous,Al-Sahel,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-27,https://cpj.org/data/people/yasser-abu-namous/,Journalist,Confirmed,,2023,October
Yousef Maher Dawas,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-14,https://cpj.org/data/people/yousef-maher-dawas/,Journalist,Confirmed,,2023,October
